agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
World Food Programme,Africa,DJI,Djibouti,2008-09-22,Drought,08-WFP-083,1316,Food Assistance to Vulnerable Groups and Refugees” - Protracted Relief and Recovery Operation (PRRO 10544.0),Eastern Africa,M,1106089,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Africa,DJI,Djibouti,2008-09-22,Drought,08-WHO-047,1317,Emergency health response to the food security crisis in Djibouti ,Eastern Africa,M,210833,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Development Programme,Africa,DJI,Djibouti,2008-09-22,Drought,08-UDP-019,1318,Réponse urgente aux effets de la crise alimentaire et de l’inflation mondiale. ,Eastern Africa,M,246100,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Africa,MDG,Madagascar,2008-09-05,Drought,08-CEF-059,1319,Prevention of Acute Malnutrition in two districts of Analanjirofo,Eastern Africa,M,605389,Rapid Response,2008,Nutrition,Nutrition,,
Food and Agriculture Organization,Africa,MDG,Madagascar,2008-09-05,Drought,08-FAO-040,1320,Distribution of rice and beans seeds to most vulnerable rural families affected by increased food prices in the regions of Atsimo Atsinanana,Eastern Africa,M,274601,Rapid Response,2008,Agriculture,Agriculture,,
World Food Programme,Africa,MDG,Madagascar,2008-09-05,Drought,08-WFP-084,1321,"Supplementary feeding of moderately malnourished
children (6-59 months) and pregnant/lactating women in
the post-emergency Analanjirofo region",Eastern Africa,M,180280.75,Rapid Response,2008,Nutrition,Nutrition,,
World Food Programme,Africa,MDG,Madagascar,2008-09-05,Drought,08-WFP-085,1322,Provide family rations to protect seeds distributed by FAO,Eastern Africa,M,232236,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Africa,MDG,Madagascar,2008-09-05,Drought,08-WHO-048,1323,"Prevention of excess mortality and
groups by reinforcement of Mobile
Strategies",Eastern Africa,M,196524,Rapid Response,2008,Health,Health,,
World Food Programme,Africa,COD,Democratic Republic of the Congo,2008-09-03,Drought,08-WFP-087,1324, PRRO 10608.0  Targeted food Aid for victims of armed conflict and other vulnerable group.,Middle Africa,M,3000022,Rapid Response,2008,Food Assistance,Food Assistance,,
Food and Agriculture Organization,Asia,PAK,Pakistan,2008-09-08,Flood,08-FAO-041,1326,Emergency food and livelihoods assistance for flood affected persons in North West Frontier Province (NWFP) and Punjab Province covering Peshawar and Rajanpur districts	,Southern Asia,M,399994,Rapid Response,2008,Agriculture,Agriculture,,
United Nations High Commissioner for Refugees,Asia,IRQ,Iraq,2008-09-04,Post-conflict Needs,08-HCR-030,1329,"Emergency Assistance to Internally Displaced Persons, Returnees and Conflict Affected Civilians in Iraq and the Relocation of Palestinian Refugees in Al Waleed Camp
IRQ-08/F01 – IRQ-08/S/NF01",Western Asia,M,2700001,Underfunded Emergencies,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
International Organization for Migration,Asia,IRQ,Iraq,2008-09-04,Post-conflict Needs,08-IOM-020,1330,"Immediate Humanitarian Relief to IDPs and Host Communities
IRQ-08/S/NF/02; IRQ-08/F04	",Western Asia,M,2300000,Underfunded Emergencies,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Children’s Fund,Asia,LKA,Sri Lanka,2008-09-10,Multiple Emergencies,08-CEF-061-A,1331,Emergency Education for children affected by conflict,Southern Asia,M,350125,Underfunded Emergencies,2008,Education,Education,,
United Nations Children’s Fund,Asia,LKA,Sri Lanka,2008-09-10,Drought,08-CEF-061-B,1332,Emergency Nutrition,Southern Asia,M,307090,Underfunded Emergencies,2008,Nutrition,Nutrition,,
Food and Agriculture Organization,Asia,LKA,Sri Lanka,2008-09-10,Unspecified Health Emergency,08-FAO-042,1333,"Agriculture assistance in support of returnees, IDPs, host families and other vulnerable families in the districts of North province during 2008 Maha season       SRL-08/A06 (Revised)",Southern Asia,M,360000,Underfunded Emergencies,2008,Agriculture,Agriculture,,
United Nations Population Fund,Asia,LKA,Sri Lanka,2008-09-18,Unspecified Health Emergency,08-FPA-028,1334,"Health Interventions in Conflict Affected Areas

SRL-08/H12",Southern Asia,M,200212,Underfunded Emergencies,2008,Health,Health,,
United Nations High Commissioner for Refugees,Asia,LKA,Sri Lanka,2008-09-18,Multiple Emergencies,08-HCR-032,1335,"Provision of Emergency Shelter and Non-Food Relief Items to IDPs and Returnees 
SRL-08/S/NF21   SRL-08/S/NF22   SRL-08/S/NF23",Southern Asia,M,1219980,Underfunded Emergencies,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
International Organization for Migration,Asia,LKA,Sri Lanka,2008-09-18,Multiple Emergencies,08-IOM-021,1336,Emergency Shelter for IDPs in the North of Sri Lanka,Southern Asia,M,800000,Underfunded Emergencies,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
World Health Organization,Asia,LKA,Sri Lanka,2008-09-18,Unspecified Health Emergency,08-WHO-050,1337,"Health Interventions in Conflict Affected Areas

SRL-08/H12",Southern Asia,M,649999,Underfunded Emergencies,2008,Health,Health,,
United Nations Development Programme,Asia,LKA,Sri Lanka,2008-10-27,Multiple Emergencies,08-UDP-020,1338,"Security Services 

SRL-08/S01",Southern Asia,M,107976,Underfunded Emergencies,2008,Common Services,Common Services,,
United Nations High Commissioner for Refugees,Asia,PAK,Pakistan,2008-09-08,Flood,08-HCR-033,1343,Humanitarian assistance to displaced communities from FATA and Swat Areas in Pakistan,Southern Asia,M,2087193,Rapid Response,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
World Food Programme,Asia,PAK,Pakistan,2008-09-08,Flood,08-WFP-088,1344,Emergency food  assistance for IDPs in North West Frontier Province (NWFP) ,Southern Asia,M,1699967,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Asia,PAK,Pakistan,2008-09-08,Storm,08-WHO-051,1345,Emergency health interventions for IDPs from Bajaur and flood affected populations in NWFP,Southern Asia,M,1199043,Rapid Response,2008,Health,Health,,
World Health Organization,Asia,PAK,Pakistan,2008-09-08,Flood,08-WHO-052,1346,WASH Interventions for internally displaced  and flood affected populations in the North Western Frontier Province (NWFP) and Federally Administered Tribal Areas (FATA) of Pakistan,Southern Asia,M,75114,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,PAK,Pakistan,2008-09-08,Flood,08-CEF-062-A,1347,WASH Interventions for internally displaced  and flood affected populations in the North Western Frontier Province (NWFP) and Federally Administered Tribal Areas (FATA) of Pakistan,Southern Asia,M,821913,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,PAK,Pakistan,2008-09-08,Flood,08-CEF-062-B,1348,"Key nutrition interventions - treatment and care for  acute malnourished children, and malnourished pregnant and lactating women in  IDP camps in NWFP ",Southern Asia,M,250000,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Asia,PAK,Pakistan,2008-09-08,Flood,08-CEF-062-C,1349,Protecting children from the consequences of armed conflict,Southern Asia,M,210523,Rapid Response,2008,Protection,Protection,,
United Nations Children’s Fund,Asia,PAK,Pakistan,2008-09-08,Flood,08-CEF-062-D,1350,Rehabilitation of Education System for IDPs in NWFP and FATA,Southern Asia,M,135646,Rapid Response,2008,Education,Education,,
United Nations Educational Scientific and Cultural Organization,Asia,PAK,Pakistan,2008-09-08,Flood,08-ESC-001,1351,Rehabilitation of Education System for IDPs in NWFP and FATA,Southern Asia,M,70053,Rapid Response,2008,Education,Education,,
United Nations Children’s Fund,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-CEF-065-A,1352,Delivery of Emergency Health and Nutrition  Services,South-Eastern Asia,M,200497,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-CEF-065-B,1353,Emergency Assistance to Children and Women Affected by the Mekong Floods,South-Eastern Asia,M,100028,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Storm,08-CEF-065-C,1354,Emergency Repairs of Primary Schools ,South-Eastern Asia,M,100045,Rapid Response,2008,Education,Education,,
United Nations Children’s Fund,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-CEF-065-D,1355,Protecting Children in Natural Disasters in flood situations,South-Eastern Asia,M,99724,Rapid Response,2008,Protection,Protection,,
Food and Agriculture Organization,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Storm,08-FAO-046,1356,Emergency Agricultural Response to Flood-Affected Farmers ,South-Eastern Asia,M,199873,Rapid Response,2008,Agriculture,Agriculture,,
World Food Programme,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-WFP-090,1357,PRRO (Protracted Relief and Recovery Operation). Assistance to food insecure households affected by floods,South-Eastern Asia,M,1000000.6,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-WHO-056,1358,"Emergency Surveillance, Medical Supply and Vector Control for Flood Affected Areas",South-Eastern Asia,M,223630,Rapid Response,2008,Health,Health,,
United Nations Human Settlements Programme,Asia,LAO,Lao People's Democratic Republic,2008-09-11,Flood,08-HAB-003,1360,Emergency Water and Sanitation Assistance to Communities Affected by Flooding,South-Eastern Asia,M,100580,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,AFG,Afghanistan,2008-09-12,Drought,08-CEF-069-A,1361,"Provision of safe drinking water, hygiene promotion and nutrition support in response to drought disaster and rising food prices in 22 drought affected provinces of Afghanistan. ",Southern Asia,M,3302157,Underfunded Emergencies,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,AFG,Afghanistan,2008-09-12,Drought,08-CEF-069-B,1362,"Provision of safe drinking water, hygiene promotion and nutrition support in response to drought disaster and rising food prices in 22 drought affected provinces of Afghanistan. ",Southern Asia,M,447795,Underfunded Emergencies,2008,Nutrition,Nutrition,,
World Health Organization,Asia,AFG,Afghanistan,2008-09-12,Drought,08-WHO-059,1363,Health cluster response to the health effects of drought and food insecurity.,Southern Asia,M,449935,Underfunded Emergencies,2008,Health,Health,,
International Organization for Migration,Asia,AFG,Afghanistan,2008-09-12,Drought,08-IOM-023,1364,Fuel Provision for Vulnerable Families in Winter,Southern Asia,M,399035,Underfunded Emergencies,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Children’s Fund,Africa,BFA,Burkina Faso,2008-09-12,Drought,08-CEF-068,1365,"Life-saving nutrition response to food price crisis
",Western Africa,M,750081,Rapid Response,2008,Nutrition,Nutrition,,
Food and Agriculture Organization,Africa,BFA,Burkina Faso,2008-09-12,Drought,08-FAO-048,1366,"Emergency Assistance to Farming Families, victims of high food prices in Urban and Peri-Urban Areas in Five cities in Burkina Faso",Western Africa,M,499999.23,Rapid Response,2008,Agriculture,Agriculture,,
World Food Programme,Africa,BFA,Burkina Faso,2008-09-12,Drought,08-WFP-093,1367,Emergency response to High Food Prices in Burkina Faso main cities,Western Africa,M,750213,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Asia,GEO,Georgia,2008-09-15,Displacement,08-CEF-067,1368,Emergency WASH provision for Georgian IDPs and returnees	,Western Asia,M,129925,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Population Fund,Asia,GEO,Georgia,2008-09-15,Displacement,08-FPA-033,1369,"Lifesaving reproductive healthcare, response to SGBV and family dignity kits for conflict affected population",Western Asia,M,150000,Rapid Response,2008,Protection,Protection,,
United Nations High Commissioner for Refugees,Asia,GEO,Georgia,2008-09-18,Displacement,08-HCR-035,1370,"Emergency Assistance to newly displaced persons in Tbilisi area 

GEO-08/S/NF04
",Western Asia,M,895590,Rapid Response,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
International Organization for Migration,Asia,GEO,Georgia,2008-09-15,Displacement,08-IOM-022,1371,"Rapid Response Humanitarian Assistance to IDPs in Western Georgia

GEO-08/S/NF03",Western Asia,M,100000,Rapid Response,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
World Food Programme,Asia,GEO,Georgia,2008-09-15,Displacement,08-WFP-092,1372,"Assistance to Conflict-affected People in Georgia

GEO-08/F01",Western Asia,M,1570000,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Asia,GEO,Georgia,2008-09-15,Displacement,08-WHO-058,1373,"Ensuring health information, health coordination and access to essential health services for IDPs",Western Asia,M,149800,Rapid Response,2008,Health,Health,,
World Food Programme,Americas,CUB,Cuba,2008-09-12,Flood,08-WFP-091,1375,Emergency Food Assistance to populations affected by Hurricane Gustav ,Latin America and the Caribbean,M,703197,Rapid Response,2008,Food Assistance,Food Assistance,,
Food and Agriculture Organization,Americas,CUB,Cuba,2008-09-12,Storm,08-FAO-047,1376,Reactivation of the urban and peri-urban agricultural network damaged by Hurricane Gustav. ,Latin America and the Caribbean,M,439770,Rapid Response,2008,Agriculture,Agriculture,,
World Health Organization,Americas,CUB,Cuba,2008-09-12,Storm,08-WHO-057,1377,Reestablishment of local health care capacity in the affected municipalities of Pinar del Río province and the Special Municipality Isla de la Juventud,Latin America and the Caribbean,M,524043,Rapid Response,2008,Health,Health,,
United Nations Population Fund,Americas,CUB,Cuba,2008-09-12,Storm,08-FPA-032,1378,"Restore and revitalize the capacity to provide emergency  Reproductive Health Service of local health system in  San Cristobal, Los Palacios, La Palma and the Isle of Youth",Latin America and the Caribbean,M,130997,Rapid Response,2008,Health,Health,,
United Nations Development Programme,Americas,CUB,Cuba,2008-09-12,Storm,08-UDP-023,1379,"Establishment of basic living and sanitation conditions in shelters for the population affected by Hurricane Gustav in Pinar del Rio province, Cuba",Latin America and the Caribbean,M,306116,Rapid Response,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Children’s Fund,Americas,CUB,Cuba,2008-09-12,Storm,08-CEF-066,1381,"Water, sanitation and environmental hygiene in affected communities.",Latin America and the Caribbean,M,383308,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,PRK,Democratic People's Republic of Korea,2008-09-17,Multiple Emergencies,08-CEF-063,1382,Reduce the incidence of common childhood diseases,Eastern Asia,M,500007,Underfunded Emergencies,2008,Nutrition,Nutrition,,
United Nations Population Fund,Asia,PRK,Democratic People's Republic of Korea,2008-09-17,Multiple Emergencies,08-FPA-029,1383,Sustain Maternal Health Services in vulnerable areas,Eastern Asia,M,350008,Underfunded Emergencies,2008,Health,Health,,
World Health Organization,Asia,PRK,Democratic People's Republic of Korea,2008-09-17,Multiple Emergencies,08-WHO-053,1384,Life Saving Public Health Intervention Package in the to provinces of Ryanggang and North Hamgyong,Eastern Asia,M,550000,Underfunded Emergencies,2008,Health,Health,,
Food and Agriculture Organization,Asia,PRK,Democratic People's Republic of Korea,2008-09-17,Multiple Emergencies,08-FAO-044,1385,Support to barley and vegetable crop production ,Eastern Asia,M,599869,Underfunded Emergencies,2008,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,TCD,Chad,2008-10-09,Displacement,08-FAO-045,1386,"Agricultural inputs supply (seeds, tools/equipments) to  households vulnerable tofood insecurity in Dar Sila, Salamat, Kobe et Nya-Pende de

CHD-08/A02
",Middle Africa,M,649917,Underfunded Emergencies,2008,Agriculture,Agriculture,,
United Nations Children’s Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-CEF-064-A,1388,Education in support of IDPs in Eastern Chad,Middle Africa,M,297995,Underfunded Emergencies,2008,Education,Education,,
United Nations Population Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-FPA-030,1389,"Availability of reproductive health services to the refugees, IDPs and the host populations in the East and the South of Chad

CHD-08/H12 (Revised)
",Middle Africa,M,300028,Underfunded Emergencies,2008,Health,Health,,
United Nations Children’s Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-CEF-064-C,1390,"Immunization and Health Promotion of the Children in IDPs sites and the host communities
 
CHD-08 /H16
",Middle Africa,M,200001,Underfunded Emergencies,2008,Health,Health,,
World Health Organization,Africa,TCD,Chad,2008-10-09,Displacement,08-WHO-055,1391,"Access to primary health care for displaced persons and the local population in areas with no coverage in eastern Chad 

CHD-08/H33 (Revised)
",Middle Africa,M,347982,Underfunded Emergencies,2008,Health,Health,,
World Health Organization,Africa,TCD,Chad,2008-10-09,Displacement,08-WHO-054,1392,Reduction  of undernourished child mortality at the Abéché hospital paediatric unit,Middle Africa,M,189144,Underfunded Emergencies,2008,Health,Health,,
United Nations Development Programme,Africa,TCD,Chad,2008-10-28,Displacement,08-UDP-021,1393,"Humanitarian Demining 
Technical survey, marking, explosive ordnance disposal
",Middle Africa,M,502877,Underfunded Emergencies,2008,Protection,Protection,,
United Nations Children’s Fund,Africa,ZWE,Zimbabwe,2008-09-12,Drought,08-CEF-070,1394,"Hospital and Community Management of Acute Malnutrition in Zimbabwe

ZIM-08/H31",Eastern Africa,M,299999,Rapid Response,2008,Nutrition,Nutrition,,
United Nations High Commissioner for Refugees,Africa,ZWE,Zimbabwe,2008-09-12,Drought,08-HCR-036,1396,"Local Settlement Programme for Refugees in Zimbabwe

ZIM- 08/MS01",Eastern Africa,M,107352,Rapid Response,2008,Food Assistance,Food Assistance,,
World Food Programme,Africa,ZWE,Zimbabwe,2008-10-15,Drought,08-WFP-094,1397,"Protracted Relief and Recovery Operation Zimbabwe 10595.0: Protracted Relief for Vulnerable Groups
ZIM/08/F04
",Eastern Africa,M,1000375,Rapid Response,2008,Food Assistance,Food Assistance,,
United Nations Children’s Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-CEF-064-D,1398,"Protective environment for children in IDP sites and host communities affected by armed conflict in Eastern Chad.

CHD-08
",Middle Africa,M,354448,Underfunded Emergencies,2008,Protection,Protection,,
United Nations Children’s Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-CEF-064-B,1399,"Water Supply, Sanitation and Hygiene Education for population affected by eastern Chad crisis

CHD-08/WS02",Middle Africa,M,973700,Underfunded Emergencies,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Population Fund,Africa,TCD,Chad,2008-10-09,Displacement,08-FPA-031,1400,"Prevention of and response to Gender Based Violence (GBV) among Refugees and Internally Displaced Persons (IDPs) in Eastern Chad

CHD-08/P/HR/RL02 (Revised)
",Middle Africa,M,350320,Underfunded Emergencies,2008,Protection,Protection,,
United Nations High Commissioner for Refugees,Africa,TCD,Chad,2008-11-10,Displacement,08-HCR-034-A,1401,Protection and Assistance to Refugees in eastern Chad,Middle Africa,M,770934,Underfunded Emergencies,2008,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,TCD,Chad,2008-11-10,Displacement,08-HCR-034-B,1402,Protection and Assistance to IDPs in eastern Chad,Middle Africa,M,829061,Underfunded Emergencies,2008,Multi-Sector,Multi-Sector,,
World Food Programme,Africa,NER,Niger,2008-09-26,Drought,08-WFP-095,1403,"UNHAS Provision of safe, efficient and sufficient air transport services to the humanitarian community in Niger and within the region.",Western Africa,M,300000,Rapid Response,2008,Common Services,Common Services,,
World Food Programme,Africa,NER,Niger,2008-09-26,Drought,08-WFP-096,1404,Scaling up nutrition activities in Zinder Region,Western Africa,M,839956,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Africa,NER,Niger,2008-09-26,Drought,08-CEF-071,1405,"Emergency Nutrition for Child Survival in Niger

REVISED WA-08/H10",Western Africa,M,98816,Rapid Response,2008,Nutrition,Nutrition,,
Food and Agriculture Organization,Africa,NER,Niger,2008-09-26,Drought,08-FAO-051,1406,"Assistance to vulnerable households affected by the rising prices of food and agricultural inputs

REVISED WA-08/H10",Western Africa,M,760001,Rapid Response,2008,Agriculture,Agriculture,,
United Nations Children’s Fund,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-CEF-072-A,1407,Ensuring the Safety and Unity of Displaced Families and Providing Psycho-social Support to Mothers and their Children,South-Eastern Asia,M,212788,Rapid Response,2008,Protection,Protection,,
United Nations Children’s Fund,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-CEF-072-B,1408,WASH - Emergency Relief Assistance to Victims of Complex Emergency in Central Mindanao,South-Eastern Asia,M,330630,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Population Fund,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-FPA-024,1409,Reproductive Health Support for Conflict–displaced Populations in Mindanao,South-Eastern Asia,M,158324,Rapid Response,2008,Health,Health,,
International Organization for Migration,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-IOM-024,1410,Multi-Sector Emergency Support for IDPs in Mindanao,South-Eastern Asia,M,399998,Rapid Response,2008,Multi-Sector,Multi-Sector,,
World Food Programme,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-WFP-097,1411,Immediate Support to Conflict-affected Populations in Mindanao,South-Eastern Asia,M,619448,Rapid Response,2008,Food Assistance,Food Assistance,,
World Health Organization,Asia,PHL,Philippines,2008-09-17,Post-conflict Needs,08-WHO-060,1412,Emergency  Relief Assistance to Victims of Armed Conflict in Central Mindanao,South-Eastern Asia,M,359104,Rapid Response,2008,Health,Health,,
United Nations Children’s Fund,Asia,IND,India,2008-09-17,Flood,08-CEF-073,1413,Humanitarian Response to Affected Children and Displaced Communities in Northern Bihar  ,Southern Asia,M,2266319,Rapid Response,2008,Multi-Sector,Multi-Sector,,
United Nations Population Fund,Asia,IND,India,2008-09-18,Flood,08-FPA-035,1414,Supply of Dignity Kits and Psycho social counselling for Flood Affected women and adolescent girls in Bihar ,Southern Asia,M,342400,Rapid Response,2008,Health,Health,,
Food and Agriculture Organization,Africa,TZA,United Republic of Tanzania,2008-10-21,Drought,08-FAO-050,1417,Support for smallholder farmers in Tanzania (Zanzibar):  Access to agricultural inputs,Eastern Africa,M,499958,Rapid Response,2008,Agriculture,Agriculture,,
United Nations High Commissioner for Refugees,Africa,BDI,Burundi,2008-09-24,Displacement,08-HCR-037,1420,"Support to the repatriation and reintegration of 1972 Burundian Refugees in Makamba, Bururi and Rutana provinces",Eastern Africa,M,1316100,Underfunded Emergencies,2008,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,BDI,Burundi,2008-10-01,Displacement,08-CEF-074,1421,"Support to the reintegration of returnees in Makamba, Bururi and Rutana provinces",Eastern Africa,M,794449,Underfunded Emergencies,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
World Food Programme,Africa,BDI,Burundi,2008-10-01,Displacement,08-WFP-098,1422,Providing food assistance to returning refugees (1972 case load),Eastern Africa,M,370818,Underfunded Emergencies,2008,Food Assistance,Food Assistance,,
World Health Organization,Africa,BDI,Burundi,2008-10-07,Displacement,08-WHO-061,1423,Enhancing emergency management of obstetrical maternal and neonatal complications through an expanded operational referral system for returnees.,Eastern Africa,M,333171,Underfunded Emergencies,2008,Health,Health,,
United Nations Population Fund,Africa,BDI,Burundi,2008-10-09,Displacement,08-FPA-036,1424,Enhancing emergency management of obstetrical maternal and neonatal complications through an expanded operational referral system for returnees.,Eastern Africa,M,142631,Underfunded Emergencies,2008,Health,Health,,
Food and Agriculture Organization,Africa,BDI,Burundi,2008-09-24,Displacement,08-FAO-052,1425,"Emergency agriculture intervention in support to the returnees reintegration process in the provinces of Bururi, Makamba and Rutana",Eastern Africa,M,630765,Underfunded Emergencies,2008,Agriculture,Agriculture,,
United Nations Population Fund,Asia,SYR,Syrian Arab Republic,2008-09-24,Displacement,08-FPA-037,1428,Ensuring  psychological support services and reproductive health  related care for SGBV victims,Western Asia,M,124741,Underfunded Emergencies,2008,Health,Health,,
World Health Organization,Asia,SYR,Syrian Arab Republic,2008-10-21,Displacement,08-WHO-062,1429,Meeting the health care needs of displaced Iraqis in Syria,Western Asia,M,500000,Underfunded Emergencies,2008,Health,Health,,
World Health Organization,Asia,PRK,Democratic People's Republic of Korea,2008-10-07,Unspecified Health Emergency,08-WHO-063,1438,“Strengthening Local Action for Improving Child Survival (SLAICS) in DPRK”,Eastern Asia,M,857256,Rapid Response,2008,Health,Health,,
United Nations Children’s Fund,Asia,PRK,Democratic People's Republic of Korea,2008-09-26,Flood,08-CEF-076,1439,Reduce the incidence of severe malnutrition among under five children,Eastern Asia,M,540914,Rapid Response,2008,Nutrition,Nutrition,,
Food and Agriculture Organization,Americas,HTI,Haiti,2008-09-29,Storm,08-FAO-054,1441,"Emergency assistance to rural households affected by cyclones to restore their livelihoods

HTI-08/A01
",Latin America and the Caribbean,M,546877,Rapid Response,2008,Agriculture,Agriculture,,
World Food Programme,Americas,HTI,Haiti,2008-09-29,Storm,08-WFP-099,1442,"Provision of common emergency telecommunication services to the humanitarian community in Haiti
HTI-08-CSS01
",Latin America and the Caribbean,M,205502,Rapid Response,2008,Common Services,Common Services,,
World Food Programme,Americas,HTI,Haiti,2008-09-29,Storm,08-WFP-100,1443,Logistics Augmentation and Coordination in Support of the Humanitarian Community in Haiti.”,Latin America and the Caribbean,M,2244646,Rapid Response,2008,Common Services,Common Services,,
World Health Organization,Americas,HTI,Haiti,2008-09-29,Storm,08-WHO-064,1444,"Reduce the public health impact of Hurricane Gustav, Tropical Storm Hanna and Hurricane Ike on the affected population of Haiti.

HTI-08/H01 / HTI-08/H02 / HTI-08/H03
",Latin America and the Caribbean,M,399999,Rapid Response,2008,Health,Health,,
United Nations Children’s Fund,Americas,HTI,Haiti,2008-10-01,Storm,08-CEF-077-A,1445,"Emergency nutrition  for children and women and emergency reproductive health for women and girls affected by the hurricanes
 
UNICEF: HTI-08/H10
",Latin America and the Caribbean,M,211218,Rapid Response,2008,Nutrition,Nutrition,,
United Nations Children’s Fund,Americas,HTI,Haiti,2008-10-01,Storm,08-CEF-077-B,1446,"Child protection in temporary shelters and unaccompanied children
 HTI-08/P/HR/RL01, HTI-08/P/HR/RL02
",Latin America and the Caribbean,M,132680,Rapid Response,2008,Protection,Protection,,
United Nations Children’s Fund,Americas,HTI,Haiti,2008-10-01,Storm,08-CEF-077-C,1447,"Back to school for most vulnerable children
 HTI-08/E001  and HTI-08/E002
",Latin America and the Caribbean,M,200625,Rapid Response,2008,Education,Education,,
United Nations Children’s Fund,Americas,HTI,Haiti,2008-10-01,Storm,08-CEF-077-D,1448,"Water and Sanitation for Affected Families

 HTI-08/WS01 and WS02

",Latin America and the Caribbean,M,236427,Rapid Response,2008,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
International Organization for Migration,Americas,HTI,Haiti,2008-09-29,Storm,08-IOM-025,1449,"Improvement of temporary shelter in support of populations affected by tropical storms Hanna and Gustav
HTI-08/S/NF01, HTI-08/S/NF03 and HTI-08/S/NF04 
(1/3 for each FA project)
",Latin America and the Caribbean,M,822563,Rapid Response,2008,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations High Commissioner for Refugees,Africa,SDN,Republic of the Sudan,2008-10-07,Post-conflict Needs,08-HCR-038,1450,"Return of Sudanese refugees to Southern Sudan 
SUD-08/RR8, SUD-08/RR17
",Northern Africa,M,1010739,Rapid Response,2008,Multi-Sector,Multi-Sector,,
United Nations Educational Scientific and Cultural Organization,Americas,CUB,Cuba,2008-09-26,Storm,08-ESC-003,1451,Safe educational environment in the post disaster period,Latin America and the Caribbean,M,239774,Rapid Response,2008,Education,Education,,
